ui,group,PM_self_k,PM_other_k,PM_self_beta,PM_other_beta,other-self_k,self_choice,other_choice
132,1,0.0866275278065431,0.107787348297142,1.76730552374736,1.76699561050333,0.0211598204905993,0.72,0.657534246575342
152,1,0.087605483403885,0.0925526636936359,2.42040375801612,1.84333629047839,0.00494718028975097,0.773333333333333,0.733333333333333
213,1,0.145313034438982,0.158997812143288,2.72628928791566,1.89298874764511,0.0136847777043057,0.6,0.586666666666667
215,1,0.0137600039668034,0.0722098634835536,3.32964245311036,0.655668644482475,0.0584498595167503,1,0.743243243243243
217,1,0.0820565581537011,0.48292773739394,2.63497420197619,0.321546794496376,0.400871179240239,0.8,0.25
218,1,0.0396364255231564,0.0606978055979997,2.28137819236376,2.53518163021608,0.0210613800748433,0.893333333333333,0.84
219,1,0.0137678574037161,0.0129160850535606,3.32949597311111,3.09680559536707,-0.000851772350155483,1,1
222,1,0.0137595690100248,0.0665163814546349,3.32957065088978,1.39125944164903,0.0527568124446101,1,0.866666666666667
233,1,0.0668690849125095,0.366340778482454,1.35190357568679,0.310173527726194,0.299471693569945,0.786666666666667,0.256756756756757
234,1,0.0858454672043156,0.125969768796074,2.20254711846204,1.45531651885753,0.0401243015917589,0.753424657534247,0.571428571428571
235,1,0.0743655465492683,0.0906173480545708,2.20479236407306,2.17327656539984,0.0162518015053025,0.805555555555556,0.746478873239437
236,1,0.0713863918341463,0.162205385010214,2.18734612077449,0.540414503799619,0.0908189931760673,0.826666666666667,0.546666666666667
238,1,0.262840819126124,0.353120358390067,0.468091937462244,0.309208473368712,0.0902795392639432,0.402777777777778,0.314285714285714
239,1,0.0779858392313324,0.145610968187642,0.912905354330182,1.02127626755561,0.0676251289563097,0.76,0.6
240,1,0.017956518310779,0.016026797897253,1.18718099421856,0.792475470588938,-0.00192972041352602,0.96,0.946666666666667
243,1,0.0666075471479666,0.142359732216264,1.23581884424239,1.37971251700598,0.0757521850682973,0.864864864864865,0.621621621621622
244,1,0.171726486797918,0.16893578002934,1.37656387177499,1.57628393275914,-0.00279070676857759,0.573333333333333,0.589041095890411
245,1,0.0388292977060729,0.155191046419644,1.48123358408396,0.656390912793575,0.116361748713571,0.906666666666667,0.623188405797101
246,1,0.0539022977931293,0.11459538525902,2.50304524663279,1.2152572682665,0.0606930874658908,0.891891891891892,0.693333333333333
247,1,0.0550147887294737,0.145441035549348,2.35513481639499,1.01645685916693,0.090426246819874,0.866666666666667,0.573333333333333
249,1,0.0293164831650942,0.0302602363825218,0.412228378372779,0.373534012326838,0.00094375321742764,0.73972602739726,0.774647887323944
501,1,0.0137597528776598,0.0931588126703151,3.3296653370625,1.22766368707434,0.0793990597926554,1,0.76
502,1,0.013761704803954,0.0414751793551998,3.32967476230946,1.90531377001389,0.0277134745512457,1,1
503,1,0.0878015758811504,0.674237193594787,1.16907755402638,0.274132478673333,0.586435617713636,0.702702702702703,0.12
504,1,0.0411158138956079,0.0657892459601656,1.17024037453932,0.965345259907029,0.0246734320645577,0.864864864864865,0.830985915492958
505,1,0.0195961842322247,0.146370780342143,3.23087129803398,0.799846085435084,0.126774596109918,0.986666666666667,0.586666666666667
506,1,0.176288144826715,0.364189598524404,1.48006057034035,0.444436916532237,0.187901453697689,0.520547945205479,0.266666666666667
507,1,0.0874553979861207,0.128493924174088,1.83195905066676,1.20265653883753,0.0410385261879676,0.773333333333333,0.702702702702703
01202,1,0.0585212080299888,0.0863165961365486,2.21296508669755,2.54599609787894,0.0277953881065598,0.84,0.773333333333333
01209,1,0.0148165037292575,0.0146219218566967,2.34735056127419,2.67261154725482,-0.000194581872560818,0.986486486486487,0.986666666666667
01214,1,0.0995755935841601,0.151419488078148,2.3346227283435,0.808642171944053,0.051843894493988,0.706666666666667,0.594594594594595
01215,1,0.0588130492148783,0.10742963545653,0.706715001481188,0.392969581215646,0.0486165862416513,0.8,0.626666666666667
01219,1,0.0253350028575913,0.0337179336064938,2.77336401207991,1.97647376901738,0.00838293074890246,0.96,0.933333333333333
01220,1,0.0511382681803122,0.0570615797016316,1.85924628428892,2.09273480581657,0.0059233115213194,0.813333333333333,0.824324324324324
01224,1,0.0618569447759756,0.0581640808689099,2.96458984452253,1.24439372332695,-0.00369286390706569,0.88,0.878378378378378
01231,1,0.0687379302043889,0.0876901817702923,2.12586099993201,3.3184977135788,0.0189522515659034,0.84,0.786666666666667
01232,1,0.0923472195219344,0.104478234316312,1.50910081392694,1.46879860191723,0.0121310147943776,0.68,0.64
01237,1,0.0137593542280476,0.0121658488547292,3.32957221924574,1.41758701288631,-0.00159350537331837,1,0.973333333333333
01238,1,0.0137613973775856,0.0129243174982807,3.32933838828566,3.0969795038069,-0.00083707987930483,1,1
01243,1,0.0812802425063791,0.0896739164562717,2.50024106804812,2.93820258613152,0.00839367394989259,0.8,0.76
301,2,0.0213747673364601,0.0964386356676888,0.225285536306323,0.0636232592328829,0.0750638683312287,0.712328767123288,0.506666666666667
303,2,0.0137606896359223,0.0703772534402436,3.32972653119887,0.701357174991535,0.0566165638043213,1,0.76
304,2,0.0298494044683524,0.109854908270875,1.04193908819344,0.388603729740695,0.0800055038025225,0.835616438356164,0.602739726027397
307,2,0.0137593279167951,1.27038642710169,3.32962295897813,2.01162793598704,1.25662709918489,1,0
309,2,0.0195966132604816,0.330157111120247,3.23088804379951,0.384421361736428,0.310560497859766,0.986666666666667,0.3
310,2,0.0137605290951736,0.0104684974017064,3.32961497426243,0.984301145343336,-0.00329203169346711,1,0.959459459459459
312,2,0.0564974183196429,0.0681218813779734,2.32055889677566,2.09675810747468,0.0116244630583305,0.837837837837838,0.786666666666667
313,2,0.0197609649449948,0.0247526607171626,0.570806105236668,0.364656927137779,0.0049916957721678,0.857142857142857,0.765957446808511
314,2,0.0601893672397309,0.0978650236753416,2.12665180451097,0.642629701235898,0.0376756564356107,0.861111111111111,0.691176470588235
315,2,0.0372699100146489,0.957573034488987,2.11540340949303,0.227547647178302,0.920303124474338,0.906666666666667,0.0266666666666667
316,2,0.0744478849545025,0.0727428342264491,2.31307426204842,1.42958141955993,-0.00170505072805339,0.8,0.756756756756757
317,2,0.18377644073446,0.171440264767133,1.14350030748283,1.00116106280799,-0.0123361759673272,0.44,0.5
318,2,0.0237357764093397,0.188183329083588,2.97820227331059,0.206714941067245,0.164447552674248,0.966101694915254,0.475409836065574
319,2,0.0321206829779655,0.0558683701252949,2.99783771802753,2.25278435099077,0.0237476871473294,0.946666666666667,0.866666666666667
320,2,0.0135051408036391,1.18306319746748,1.11409481769276,1.84016859011743,1.16955805666384,0.955882352941177,0
321,2,0.0137586353309406,0.241303845020553,3.32964872710065,0.518485385615089,0.227545209689612,1,0.356164383561644
323,2,0.046914778697992,0.090336886905629,1.26323892835236,1.55406095401797,0.043422108207637,0.849315068493151,0.733333333333333
325,2,0.119552805143898,0.124305460649261,1.27614832476789,0.815981458176035,0.00475265550536301,0.581081081081081,0.52
326,2,0.165113908898717,0.329148058823239,0.989557435185643,0.265174780371396,0.164034149924523,0.520547945205479,0.333333333333333
327,2,0.0786380402907912,0.154251501672698,1.29367474277198,0.763538328795947,0.0756134613819066,0.733333333333333,0.493333333333333
328,2,0.097413441159419,0.127301254171362,1.87427176526874,2.19615874597521,0.029887813011943,0.72,0.616438356164384
329,2,0.0137129254260393,0.281729355096168,2.01665310830759,0.0950907314005764,0.268016429670129,0.986301369863014,0.357142857142857
406,2,0.0527080487639176,0.117124465757667,2.14368281906375,1.56273706697104,0.0644164169937494,0.893333333333333,0.64
418,2,0.0196675676499188,0.018563859307098,3.22073851748083,1.54183866817915,-0.00110370834282085,0.986301369863014,0.972602739726027
419,2,0.0278512642755212,0.0691046951113212,0.268499041393318,0.173901898882432,0.0412534308358,0.704225352112676,0.596774193548387
401,3,0.0275525275357699,0.0324865176935696,2.97639409153239,3.29663454529198,0.00493399015779978,0.959459459459459,0.958904109589041
402,3,0.106593779701446,0.115932792279879,1.37356680229383,1.14219817415534,0.00933901257843267,0.76,0.733333333333333
403,3,0.0777407824838126,0.187473769061516,1.60428415449592,0.576899315823779,0.109732986577704,0.8,0.486486486486487
404,3,0.0634562993869602,0.146819131251398,2.50323465428709,0.994423112418719,0.0833628318644378,0.84,0.554054054054054
407,3,0.0627740909071645,0.0956568082703336,2.7316848437451,2.8247318145265,0.0328827173631691,0.826666666666667,0.746666666666667
408,3,0.0159431825877216,0.0705894331626815,1.46055282103101,0.191844719650501,0.0546462505749599,0.946666666666667,0.581081081081081
409,3,0.0800543558755373,0.073397850836357,0.631112828232617,0.626446533567033,-0.00665650503918035,0.608108108108108,0.661971830985915
410,3,0.062910733218156,0.116534639075132,1.83985548893123,0.869793776445777,0.0536239058569762,0.84,0.68
411,3,0.0138916267624577,0.0154784358240766,3.29910790326586,2.00675794483768,0.0015868090616189,1,0.986666666666667
412,3,0.0175651558118568,0.10518063493012,0.78551628146435,0.196603873238709,0.0876154791182633,0.893333333333333,0.571428571428571
413,3,0.0466283375580937,0.0515185489466806,2.23315976068614,2.09712725343574,0.00489021138858685,0.876712328767123,0.851351351351351
414,3,0.0633425934586961,0.0768172235962465,2.23710903255516,2.56248003884839,0.0134746301375505,0.840579710144927,0.803030303030303
416,3,0.0428223238533639,0.0683570977327682,2.94552917179433,1.15653858962629,0.0255347738794043,0.906666666666667,0.8
417,3,0.0567485588392482,0.0429178605230385,0.358229378820807,0.483657751030132,-0.0138306983162097,0.652173913043478,0.807692307692308
420,3,0.0141118235476015,0.0197871599401692,3.29499079427673,1.00521102877475,0.0056753363925677,1,0.878378378378378
405,4,0.0259585562049248,0.0181588172793329,0.906638844362794,1.04303577354344,-0.00779973892559187,0.938775510204082,0.959183673469388
302,4,0.0431071898891983,0.0507271132561115,1.62075706382004,1.85798251728794,0.00761992336691322,0.826666666666667,0.826666666666667
305,4,0.074790128206761,0.0809814656356484,2.13442404203044,2.87591727370663,0.0061913374288874,0.8,0.773333333333333
311,4,0.332423211596957,0.335918365072224,0.218466047138472,0.214124724073569,0.00349515347526658,0.272727272727273,0.298507462686567
324,4,0.127441366542089,0.135116355465899,1.70380751131096,1.12726873905115,0.00767498892380969,0.573333333333333,0.533333333333333
