Simulated,Estimated,lme,bicint,xp,pseudoR2,choiceProbMedianR2,wins,best
1,1,-2570.47477318737+0i,5149.12438193036,1,-30.4174801945622,0.999968080873669,1,10
1,2,-3899.95981856168+0i,7812.13122314966,0,-51.0892000200913,0.956386441324937,0,0
1,3,-4879.20598243636+0i,9780.3239033593,0,-66.8905101776601,0.726319236399233,0,0
1,4,-2629.52841030861+0i,5290.61802129381,0,-30.1938482878203,0.999961166316224,0,0
1,5,-3958.85428779034+0i,7951.66968606775,0,-51.0734117013918,0.953615162034522,0,0
1,6,-4908.41390181748+0i,9864.28151161919,0,-66.9523805663418,0.725241593366234,0,0
1,7,-2727.3683609177+0i,5550.63043327294,0,-29.7296606610701,0.999978245726044,0,0
1,8,-4020.18073101762+0i,8094.67050888487,0,-51.112643752866,0.954790289310076,0,0
1,9,-4977.09571860198+-0.15707963267949i,10010.2150073768,0,-66.9432870955685,0.724071911616961,0,0
1,10,-2784.37063464846+0i,5695.52767503168,0,-29.5531088383779,0.999969318399059,0,0
1,11,-4078.94412276019+0i,8271.260277353,0,-51.1064756633221,0.952562017669368,0,0
1,12,-5005.26354907973+0i,10107.505914552,0,-67.0148968065434,0.722982414243511,0,0
2,1,-5400.65064452242+0i,10811.3424543014,0,-70.7076667728329,0.868281427554735,0,0
2,2,-4888.27847906538+0i,9780.5399946288,1,-63.4470296426536,0.935750575738605,1,10
2,3,-5507.00949393566+0i,11016.1545297601,0,-73.5895431858962,0.681098906757425,0,0
2,4,-5484.10241461294+0i,10993.4002451165,0,-70.3434789747104,0.860289177482943,0,0
2,5,-4977.81148666882+0i,9968.41380875381,0,-63.1669441639995,0.932089267319435,0,0
2,6,-5584.79539314683+0i,11186.2364774344,0,-73.6541162475525,0.676927906499171,0,0
2,7,-5553.80994428155+0i,11129.3883045856,0,-70.1218564728706,0.870423069023395,0,0
2,8,-5040.27850836055+0i,10088.6847716782,0,-62.8768811658953,0.937841631952134,0,0
2,9,-5656.11468792428+0i,11318.2958187427,0,-73.3438311469515,0.673569929253568,0,0
2,10,-5637.15187464688+0i,11324.9140451695,0,-69.8162723681036,0.868474958008659,0,0
2,11,-5128.79504119037+0i,10296.1634316951,0,-62.6382974062894,0.934493499670811,0,0
2,12,-5726.39664764924+0i,11477.9270484251,0,-73.4323562978102,0.67011317352611,0,0
3,1,-8476.38409494295+0i,16956.1330798734,0,-116.203117341934,0.38751033147994,0,0
3,2,-8347.04402537282+0i,16697.0528132007,0,-114.460769124251,0.413304389195307,0,0
3,3,-8261.51722836677+0i,16523.0223175493,1,-113.686954120867,0.43010858406818,1,10
3,4,-8556.96234411132+0i,17137.2066544509,0,-115.763916649424,0.387756274993404,0,0
3,5,-8417.39944941565+0i,16852.0085289088,0,-114.036483583342,0.415708207128562,0,0
3,6,-8317.23639370447+0i,16640.0581084747,0,-113.501249870612,0.420401669470669,0,0
3,7,-8561.94363798372+0i,17140.0466169852,0,-115.680285082237,0.393021991749098,0,0
3,8,-8435.30344507168+0i,16884.0548810582,0,-113.969777036199,0.417167374004463,0,0
3,9,-8359.26813335631+0i,16721.8321956751,0,-113.267090708571,0.432359796773523,0,0
3,10,-8643.9109631318+0i,17321.6064690568,0,-115.362136376543,0.392661165516875,0,0
3,11,-8507.57097228925+0i,17048.8713428317,0,-113.613225016937,0.417573778278987,0,0
3,12,-8410.58105458933+0i,16831.0127006332,0,-113.099352513632,0.420284544989414,0,0
4,1,-2918.47949479372+0i,5845.31556002147,0,-35.4291773535534,0.999756995619734,0,0
4,2,-4164.98685226115+0i,8341.9570522761,0,-55.0637770630471,0.940696800991096,0,0
4,3,-5055.43638577614+0i,10137.2872690993,0,-69.3624442373603,0.722984561166271,0,0
4,4,-2683.1317785056+0i,5395.5706219712,1,-30.6284010312584,0.999904227326362,1,10
4,5,-4070.72779749071+0i,8168.38249048947,0,-52.4557692065611,0.94358782599987,0,0
4,6,-5007.5513021873+0i,10062.6474254623,0,-68.1702615308487,0.722032252738492,0,0
4,7,-2965.87001394051+0i,6012.72693671319,0,-33.2904489611016,0.999859720447665,0,0
4,8,-4253.16747669107+0i,8550.5541138676,0,-54.6449903505016,0.939825227826924,0,0
4,9,-5132.38773281312+0i,10332.8133108576,0,-69.127773654965,0.72019562820301,0,0
4,10,-2828.4254845742+0i,5785.50841958808,0,-30.1693144297898,0.999950030163081,0,0
4,11,-4184.66768722021+0i,8466.35639183721,0,-52.5452720056659,0.943426766964536,0,0
4,12,-5097.55355063957+0i,10287.1172273317,0,-68.2289367079159,0.719485296616607,0,0
5,1,-5751.49229696902+0i,11516.9286204187,0,-75.9852605270383,0.800406496972144,0,0
5,2,-5261.78984494658+0i,10531.4749657821,0,-68.9943161060848,0.869909698855983,0,0
5,3,-5748.92689899463+0i,11502.1616911021,0,-77.0977242778125,0.665459968162005,0,0
5,4,-5493.53958618984+0i,11019.0991372141,0,-70.2538274417819,0.812706055648855,0,0
5,5,-4923.81454289146+0i,9862.58433788598,1,-62.2519478948611,0.879336028065973,1,10
5,6,-5568.32025307938+0i,11154.002983242,0,-73.4133946545436,0.659226092477405,0,0
5,7,-5806.53082614445+0i,11640.9842485094,0,-73.9742650441549,0.808134488902892,0,0
5,8,-5335.91731559707+0i,10691.1347659951,0,-67.278310876487,0.872982432745313,0,0
5,9,-5793.10962272045+0i,11596.1427978095,0,-75.4256843868106,0.661705940171292,0,0
5,10,-5629.71090183028+0i,11312.6630024511,0,-69.7898192971449,0.816957955529448,0,0
5,11,-5062.55749701936+0i,10157.4329399866,0,-61.7638483292119,0.884121486348925,0,0
5,12,-5692.55448165889+0i,11406.544508333,0,-73.1832230830798,0.655492055193923,0,0
6,1,-8514.81655481118+0i,17035.2151737049,0,-116.813101085043,0.382012399533009,0,0
6,2,-8404.98945987618+0i,16811.4801194432,0,-115.466986173459,0.404112809734346,0,0
6,3,-8334.50122622495+0i,16671.889530374,0,-114.951080704219,0.414282957311502,0,0
6,4,-8390.77189229128+0i,16798.2397583682,0,-112.931037542684,0.378500238493577,0,0
6,5,-8253.8961334041+0i,16518.0679740971,0,-111.26643036759,0.403936305979484,0,0
6,6,-8161.88565643635+0i,16330.1717499363,1,-110.798404230976,0.402921806221211,1,10
6,7,-8539.28516904622+0i,17092.2241141425,0,-115.213330241563,0.390397485758092,0,0
6,8,-8427.14603995659+0i,16860.8910038564,0,-113.789409845174,0.414704384562416,0,0
6,9,-8312.7218094172+0i,16629.3033291291,0,-112.722259828705,0.417945802540456,0,0
6,10,-8465.34110077839+0i,16965.6799331974,0,-112.554941167017,0.382917500875424,0,0
6,11,-8333.34338233974+0i,16690.2048541554,0,-110.892522613518,0.409053431395978,0,0
6,12,-8239.80225361847+0i,16486.7277638747,0,-110.51672494045,0.403556921449031,0,0
7,1,-4400.97919788435+0i,8808.57607131594,0,-57.1190533588718,0.984569718021414,0,0
7,2,-5113.9161063848+0i,10227.8867847154,0,-68.6354372279331,0.923468149781664,0,0
7,3,-5839.69226544393+0i,11689.0245077734,0,-80.4991560894737,0.717286479369181,0,0
7,4,-3787.65027677344+-0.15707963267949i,7527.17632592931,0,-46.0802373792065,0.992753312239208,0,0
7,5,-4737.16546436234+0i,9461.42717923842,0,-61.2185228596813,0.92862078088431,0,0
7,6,-5547.93760255574+0i,11133.5430283182,0,-76.0010133711604,0.71790279545334,0,0
7,7,-2718.57221628713+0i,5474.04988364425,1,-29.5755607265339,0.999876465648134,1,10
7,8,-4073.00715621449+0i,8172.39844152285,0,-52.0713688351284,0.950941450843198,0,0
7,9,-5000.64043446376+0i,10034.1863315018,0,-67.2666706176644,0.723540813896518,0,0
7,10,-2770.47415582315+0i,5607.70185820916,0,-29.3889493821679,0.999872276891043,0,0
7,11,-4087.63249188664+0i,8219.06157397599,0,-51.360480118121,0.951737349268711,0,0
7,12,-4997.06697112589+0i,10049.0863692058,0,-66.8581245964937,0.722642786412999,0,0
8,1,-7172.90002612672+0i,14359.452604108,0,-97.0290768473318,0.583232686157196,0,0
8,2,-6814.49857965353+0i,13636.918133936,0,-91.7221183396683,0.621975248467522,0,0
8,3,-7024.66784752659+0i,14052.2419869103,0,-95.583332499978,0.578359669977409,0,0
8,4,-6822.32627481676+-0.15707963267949i,13549.061537802,0,-88.8715021033533,0.553637550223585,0,0
8,5,-6412.69983722951+0i,12774.6161940093,0,-83.3600923064699,0.60817042655222,0,0
8,6,-6780.92688519748+-0.15707963267949i,13461.6232900813,0,-90.2725914425629,0.575219972323838,0,0
8,7,-5604.08432848878+0i,11232.658544411,0,-70.9041385079787,0.881088155315013,0,0
8,8,-5052.47141512974+0i,10118.8395864038,1,-63.0608557466019,0.940375684956562,1,10
8,9,-5722.86587860913+0i,11452.3280699008,0,-74.4349947888952,0.679568936218887,0,0
8,10,-5655.59082019966+0i,11362.5986514189,0,-70.1233660328441,0.880398062179343,0,0
8,11,-5135.22291185284+0i,10303.1740046429,0,-62.7572482403002,0.93844307521477,0,0
8,12,-5769.15025397071+0i,11559.2779231734,0,-74.0794141870946,0.676272792959001,0,0
9,1,-9033.72534435726+0i,18073.8538585751,0,-125.048714120471,0.34795061398109,0,0
9,2,-8942.82205532311+0i,17889.1947231419,0,-123.742654281013,0.359439783421966,0,0
9,3,-8887.73184035389+0i,17779.020297373,0,-123.091752372818,0.357852611100024,0,0
9,4,-8724.29530898321+0i,17451.5390616813,0,-118.12531213126,0.337613185114672,0,0
9,5,-8636.08595341591+0i,17276.7184787919,0,-116.862643118013,0.345502729354112,0,0
9,6,-8576.28027361635+0i,17146.3929514645,0,-116.4129793789,0.34634008439466,0,0
9,7,-8651.4908981+0i,17310.0336881131,0,-117.00867421505,0.407707904274182,0,0
9,8,-8434.75213749506+0i,16872.1099299871,0,-113.865982349233,0.43277893656904,0,0
9,9,-8260.97545269737+0i,16517.6528616117,1,-111.681606427553,0.433306251093635,1,10
9,10,-8544.03605081366+0i,17109.345682476,0,-113.708006510119,0.403222393293795,0,0
9,11,-8405.51875834751+0i,16822.9808733325,0,-111.911118211556,0.424187108661275,0,0
9,12,-8316.2051744855+0i,16633.2838145053,0,-111.561956864324,0.42614256498021,0,0
10,1,-4532.263393703+0i,9073.19150373545,0,-59.0735972081159,0.97018701289022,0,0
10,2,-5156.71141734774+0i,10317.9571961163,0,-69.3623639557792,0.909894354889818,0,0
10,3,-5855.08224327837+0i,11719.1606504178,0,-80.7570979692551,0.715589541738442,0,0
10,4,-3707.85231146879+0i,7389.67044600033,0,-44.6795769968181,0.990071888772803,0,0
10,5,-4679.47470852454+0i,9335.60168552367,0,-60.3270033116651,0.922253177625443,0,0
10,6,-5507.89878808499+0i,11068.4129473584,0,-75.3456848585038,0.716468778537039,0,0
10,7,-2921.74689288871+0i,5871.03807378813,0,-32.5561891106829,0.99952475210809,0,0
10,8,-4185.19821617413+0i,8398.82763855056,0,-53.7473183142415,0.945278516476134,0,0
10,9,-5087.51866183826+0i,10203.6497491925,0,-68.5779110422055,0.718919965918263,0,0
10,10,-2798.18483394092+0i,5656.1518136315,1,-29.705350316829,0.999716847605312,1,10
10,11,-4097.28749631502+0i,8236.25228868673,0,-51.3107680572325,0.949274188632171,0,0
10,12,-5032.88816660879+0i,10114.9441863102,0,-67.3186823753357,0.717794451212748,0,0
11,1,-7314.24749730841+0i,14639.8250724229,0,-99.2995004830472,0.553039106747384,0,0
11,2,-6983.57696515262+0i,13977.1116709443,0,-94.3561691761655,0.584159712800933,0,0
11,3,-7149.86655211094+0i,14304.2219599025,0,-97.3469287548312,0.570214641446198,0,0
11,4,-6567.59809789209+-0.15707963267949i,13042.1697139166,0,-84.8692590202349,0.537132535112525,0,0
11,5,-6105.37266529304+-0.15707963267949i,12169.8695975915,0,-78.6502590110528,0.59387099097285,0,0
11,6,-6556.93158595784+0i,13041.9494762807,0,-86.9024228799855,0.545789334394726,0,0
11,7,-5755.78675449717+0i,11537.7689688987,0,-73.2584170503481,0.819509206232627,0,0
11,8,-5284.48925659982+0i,10585.9521027608,0,-66.4569071930133,0.869415464681661,0,0
11,9,-5763.46288604881+0i,11537.991023719,0,-75.0313102871344,0.673355272847033,0,0
11,10,-5529.53042740737+0i,11109.1789873957,0,-68.29830361098,0.837025400383657,0,0
11,11,-5000.27733464223+0i,10029.2283818784,1,-60.8582314031583,0.888717636144046,1,10
11,12,-5642.12729460194+0i,11305.6622133144,0,-72.407035987315,0.669477947684499,0,0
12,1,-9157.30262317948+0i,18321.221407301,0,-127.120550439147,0.34892757052765,0,0
12,2,-9077.55024207118+0i,18163.1518425939,0,-126.063047474116,0.361700571457123,0,0
12,3,-9036.86912198308+0i,18078.8587689351,0,-125.537494738346,0.356362714975129,0,0
12,4,-8701.65215185026+0i,17408.8994234434,0,-117.550685378147,0.333920023765973,0,0
12,5,-8614.11787904943+0i,17231.8693858406,0,-116.324424809388,0.347117636031775,0,0
12,6,-8543.26934984814+0i,17080.7768817839,1.85e-05,-115.756792442043,0.344483609391056,0,0
12,7,-8808.62076897708+0i,17620.6942612141,0,-119.47565697467,0.390787819018373,0,0
12,8,-8621.50833729622+0i,17243.6349412383,0,-116.802396631166,0.414423884536115,0,0
12,9,-8415.18871669282+0i,16832.1385661178,6.1e-06,-114.170806226537,0.414794216018072,0,0
12,10,-8556.65231198363+0i,17128.6515796017,0,-113.925524046965,0.380336625434444,0,0
12,11,-8432.17964413013+0i,16876.9801514273,0,-112.335825163466,0.401978271091826,0,0
12,12,-8338.29113683525+0i,16677.3743038741,0.9999754,-111.911511267649,0.402077673827896,1,10
