k,reward,effort,sv,sv_par,sv_lin,sv_hyp
0,20,1,20,20,20,20
0.25,20,1,19.75,19.75,15,16
0.5,20,1,19.5,19.5,10,13.33333333
0.75,20,1,19.25,19.25,5,11.42857143
1,20,1,19,19,0,10
1.25,20,1,18.75,18.75,-5,8.888888889
1.5,20,1,18.5,18.5,-10,8
0,20,1.25,20,20,20,20
0.25,20,1.25,19.609375,19.609375,13.75,15.23809524
0.5,20,1.25,19.21875,19.21875,7.5,12.30769231
0.75,20,1.25,18.828125,18.828125,1.25,10.32258065
1,20,1.25,18.4375,18.4375,-5,8.888888889
1.25,20,1.25,18.046875,18.046875,-11.25,7.804878049
1.5,20,1.25,17.65625,17.65625,-17.5,6.956521739
0,20,1.5,20,20,20,20
0.25,20,1.5,19.4375,19.4375,12.5,14.54545455
0.5,20,1.5,18.875,18.875,5,11.42857143
0.75,20,1.5,18.3125,18.3125,-2.5,9.411764706
1,20,1.5,17.75,17.75,-10,8
1.25,20,1.5,17.1875,17.1875,-17.5,6.956521739
1.5,20,1.5,16.625,16.625,-25,6.153846154
0,20,1.75,20,20,20,20
0.25,20,1.75,19.234375,19.234375,11.25,13.91304348
0.5,20,1.75,18.46875,18.46875,2.5,10.66666667
0.75,20,1.75,17.703125,17.703125,-6.25,8.648648649
1,20,1.75,16.9375,16.9375,-15,7.272727273
1.25,20,1.75,16.171875,16.171875,-23.75,6.274509804
1.5,20,1.75,15.40625,15.40625,-32.5,5.517241379
0,20,2,20,20,20,20
0.25,20,2,19,19,10,13.33333333
0.5,20,2,18,18,0,10
0.75,20,2,17,17,-10,8
1,20,2,16,16,-20,6.666666667
1.25,20,2,15,15,-30,5.714285714
1.5,20,2,14,14,-40,5
0,20,2.25,20,20,20,20
0.25,20,2.25,18.734375,18.734375,8.75,12.8
0.5,20,2.25,17.46875,17.46875,-2.5,9.411764706
0.75,20,2.25,16.203125,16.203125,-13.75,7.441860465
1,20,2.25,14.9375,14.9375,-25,6.153846154
1.25,20,2.25,13.671875,13.671875,-36.25,5.245901639
1.5,20,2.25,12.40625,12.40625,-47.5,4.571428571
0,20,2.5,20,20,20,20
0.25,20,2.5,18.4375,18.4375,7.5,12.30769231
0.5,20,2.5,16.875,16.875,-5,8.888888889
0.75,20,2.5,15.3125,15.3125,-17.5,6.956521739
1,20,2.5,13.75,13.75,-30,5.714285714
1.25,20,2.5,12.1875,12.1875,-42.5,4.848484848
1.5,20,2.5,10.625,10.625,-55,4.210526316
0,20,2.75,20,20,20,20
0.25,20,2.75,18.109375,18.109375,6.25,11.85185185
0.5,20,2.75,16.21875,16.21875,-7.5,8.421052632
0.75,20,2.75,14.328125,14.328125,-21.25,6.530612245
1,20,2.75,12.4375,12.4375,-35,5.333333333
1.25,20,2.75,10.546875,10.546875,-48.75,4.507042254
1.5,20,2.75,8.65625,8.65625,-62.5,3.902439024
0,20,3,20,20,20,20
0.25,20,3,17.75,17.75,5,11.42857143
0.5,20,3,15.5,15.5,-10,8
0.75,20,3,13.25,13.25,-25,6.153846154
1,20,3,11,11,-40,5
1.25,20,3,8.75,8.75,-55,4.210526316
1.5,20,3,6.5,6.5,-70,3.636363636
0,20,3.25,20,20,20,20
0.25,20,3.25,17.359375,17.359375,3.75,11.03448276
0.5,20,3.25,14.71875,14.71875,-12.5,7.619047619
0.75,20,3.25,12.078125,12.078125,-28.75,5.818181818
1,20,3.25,9.4375,9.4375,-45,4.705882353
1.25,20,3.25,6.796875,6.796875,-61.25,3.950617284
1.5,20,3.25,4.15625,4.15625,-77.5,3.404255319